index,PERMANENT_NAME,DISPLAY_NAME,MAIN_PIC_ID,CITY,STATE,COUNTRY_CODE,MEMBER_SINCE,PERSONAL_URL,OCCUPATION,LOAN_BECAUSE,OTHER_INFO,LOAN_PURCHASE_NUM,INVITED_BY,NUM_INVITED
925363,karen72186022,Karen,,,,,1337996183,,,,,28,,0
1295224,jason20055944,Jason,,Ottawa,Ontario,CA,1371515215,,,,,10,Jenn,0
159719,michelle4800,Michelle,,,,,1393346748,,,,,28,,0
278980,drew47467458,Drew,,,,,1367100906,,,,,2,Tyler,0
1503398,ben5294,Ben,459930.0,,,,1262049037,,student,,,2,,0
684176,eleanor1467,Eleanor,1522751.0,,,,1391352440,,,,,1,,0
917520,kurt6833,Kurt,,San Diego,California,US,1395946925,,,,,2,,0
687238,catherine9268,Catherine,2111871.0,,,,1456443729,,,,,31,,0
487668,yann1614,yann,31619.0,Paris,,FR,1176927212,,helicopter pilot,,,16,,0
1154317,brittany5801,Brittany,,,,,1451158333,,,,,13,John,0
1230355,luciano8251,Luciano,,,,,1460988663,,,,,1,,0
1069569,josh44024494,Josh,,,,,1514062619,,,,,1,,0
1196062,isaac56169115,Isaac,,,,,1352596992,,,,,10,robin,0
474311,thomas72294078,Thomas,,,,,1505243245,,,,,4,,0
997052,chris6765,Chris,1207897.0,,,,1349041107,,,,,1,Lauren,0
17251,alan48918575,Alan,,,,,1589161012,,,,,1,,0
978006,emily2721,Emily,935365.0,Phoenix,Arizona,US,1187147999,,Student,I have visited people in need and have realized that everyone can use a helping hand every once and a while.  ,I am attending a university so that I can learn how to build structures once I graduate.  ,17,,0
447145,deanne7382,Deanne,2593401.0,,,GB,1500962245,,,,,34,,0
973604,kirstin7967,Kirstin,,,,,1381997347,,,,,1,,0
1207387,rose8748,Rose,,,,,1292880622,,,,,1,,0
738437,robert6293,Robert,,Waco,TX,US,1260292430,,Student,,,10,,0
401187,sydney8567,Sydney,329897.0,,,US,1187960599,,elementary age student,it  is a great feeling to help someone out. I LOVE Kiva!!,I am now a sixth grade student in a private elementary school in the United States.,2,,0
1474171,senthilprakash4617,senthilprakash,,,,,1461050200,,,,,6,,0
1103054,megan9119,megan,1343336.0,Falls Church,VA,US,1222668325,,program assistant,,,14,,6
1382676,joey7742,Joey,,,,US,1544575554,,,,,1,,0
1210403,joachim4898,Joachim,,Berlin,,DE,1243834269,,,,,90,,0
1334255,eric24368327,Eric,1618489.0,,,,1401825823,,,,,357,,1
618018,leah4860,Leah,,,,,1499384146,,,,,5,,0
364268,erin5057,Erin,,,,,1519066832,,,,,1,,0
1184274,gerard4167,Gerard,,,,US,1198180509,,international children\\'s tv,,,9,Shan,0
219961,hannamari1015,Hanna-Mari,2144161.0,,,US,1460022826,,,,,6,,0
195686,cem3518,Cem,,,,,1434007558,,,,,1,,0
548599,tacy2743,Tacy,2267726.0,,,,1469910865,,,,,1,,0
1379601,joe72701870,Joe,,,,,1427188350,,,,,1,Diane,0
261504,marla3138,Marla,462800.0,,,,1262530675,,Teacher,,,8,DENNIS,0
1093875,demetrius1276,demetrius,,,,,1562420919,,,,,1,,0
1318804,tish3196,TISH,1397958.0,,,,1374688257,,,,,1,Bob Harris,0
683164,robert36613768,Robert,107684.0,world explorer,,,1198946348,,Machnical engineer Diesel,as i have  traveled i have recived help from people i did not know and they ask for not a thing in return.,,3,,0
868809,renda2648,Renda,,St. Louis,Missouri,US,1394346771,,,,,2,,0
885851,ray1645,Raymond,,Palm Beach Gardens,FL,US,1176380894,,Office Manager,,,10,,0
1549641,stephanie68198318,Stephanie,,,,,1443104744,,,,,6,dick,0
1022499,bella9621,Bella,,Rains-a-lot,WA,US,1364358313,,,,,1,Marc & Becky,0
526368,brian1463,Brian,1983734.0,,,US,1442876052,,,,,2,,0
569442,ls7718,LSS,260558.0,,Virginia,US,1228254444,,,"I wish the recipients had to repay a little interest, both to cover some of Kiva's costs and to add a bit to the lenders' portfolios, so they had more to reinvest.  And it would get the recipients used to paying interest, which is important to repaying commercial loans, the next step to expand their businesses.",,3,,0
948228,kristin4489,Kristin,845232.0,Salt Lake City,UT,US,1312954729,,,,,3,Mike,0
1376471,nicole6369,Nicole,,Burleigh Heads,Queensland,AU,1229334789,,,,,4,John,1
402068,robert67908101,Robert,,,,,1474306523,,,,,1,,0
807660,callum1465,Callum,,,,,1517540549,,,,,2,,0
158872,james9204,James,702909.0,Redwood City,CA,US,1296235180,,,,,6,,0
1124086,sara2347,Sara,2791473.0,,,US,1520535785,,,,,1,,0
948594,10commfhs7013,10ComMFHS,,,,,1377485727,,,,,2,,0
733715,sonia3137,Sonia,,Cambridge,MA,US,1299092214,,,,,5,,1
1369724,brendan5753,Brendan,2287809.0,,,US,1472114216,,,,,1,,0
145496,tanner1514,Tanner,357748.0,Minot,ND,US,1248289855,,,,,22,,0
507374,joel5622,Joel,,,,LA,1536700508,,,,,1,,0
1109060,sue2757,Sue,,Naples,FL,US,1312913816,,,,,38,James,1
1328862,ava9584,Ava,,,,,1377385906,,,,,1,,0
315694,andy4160,Andy,,Sandhurst,England,GB,1394111197,,,,,5,,0
999082,tina9977,Tina H.,938383.0,Shanghai,Shanghai,CN,1323142290,,,,,6,,1
10981,michael87014470,Michael Bolger,3056279.0,Norwich,,GB,1455871080,,,,,5,,0
1308666,harold7234,Harold,,Boston,MA,US,1269742079,,Computer Engineer,,,84,,0
1050028,james8839,James,,Carbondale,IL,US,1180661377,,military,,,16,,0
612801,kyle9117,Kyle,,West Springfield,MA,US,1233901675,,,,,4,,0
1090038,theresa7080,Theresa,,,,,1217693909,,Accounting Supervisor,,,7,Blair,0
652442,aidan2976,Aidan,,,,,1582929290,,,,,1,,0
430670,marian2731,Marian,,,,,1597719936,,,,,1,,0
450246,brad4140,Brad,1601648.0,,,,1389961814,,,,,1,Kathleen,0
1188836,chris1078,Chris,,Olney,Maryland,US,1322449616,,,,,22,,0
276901,richard86969823,Richard,,,,,1511485959,,,,,16,,0
1012033,adan5083,Adan,1189173.0,Huntington Park,California,US,1346911792,,,,,1,Philip,0
386398,dhruvraniga,Dhruv Raniga,4040143.0,Sydney,NSW,AU,1520654740,,,,,16,,0
530936,courtney2147,Courtney,,,,,1607921848,,,,,1,Dan,0
1100670,tyler7730,Tyler,1597100.0,,,,1398958239,,,,,1,,0
936802,hermanda1485,Hermanda,,,,,1539312826,,,,,2,,0
1022223,curtis8525,Curtis,1324143.0,Sprongfield,Mo,US,1364662326,,,,,1,,0
1180227,maya8567,Maya,98193.0,Olympia,WA,US,1197685251,,grandmother/artist/computer programmer,I am so incredibly blessed--the whole world deserves to live well and prosper.  ,I make the programs that help computers do what they do.  I also write books to entertain and do artwork to make my soul feel filled. ,64,,1
869880,karin6879,Karin,,,,,1484691541,,,,,1,,0
800665,myra2645,Myra,,,,,1515559622,,,,,13,,0
1041218,steve6059,Steve,,Houston,TX,US,1263434879,,,,,2,,0
846302,lisa9325,Lisa,,,,,1531668176,,,,,1,,0
1289805,collin1000,Collin,1368553.0,Camarillo,CA,US,1304287659,,,,,68,,11
1472028,julie7368,Julie,240510.0,Boulder,CO,US,1206540142,,psychic,it is our obligation in this world to share.,energy healing.,19,,3
190611,robert81581370,Robert,,,,,1198721754,,,,,4,,0
588674,jessica7204,Jessica,,,,,1545255595,,,,,1,,0
757142,vernon5543,Vernon,,Olean,NY,US,1177360273,,,,,1,,0
1123245,bergen5454,Bergen,,,,,1520291202,,,,,1,,0
1543317,dawn8198,Dawn,,,,,1335600525,,,,,22,,1
533423,briana4725,Briana,193965.0,Nakagusuku,Okinawa,JP,1219462322,,,,,1,,0
1068036,katherine8144,Katherine,,,,,1370009214,,,,,1,,0
752149,macy6130,Macy,,,,,1250371208,,,,,14,Paul,0
932221,bianca3850,Bianca,,,,,1608688103,,,,,2,,0
1537702,roxanne6174,Roxanne,,Victoria,British Columbia,CA,1263687889,,,,,32,,1
214805,desislava1248,Desislava,,,,,1506690536,,,,,1,,0
968776,cameron7382,Cameron,,,,,1494278733,,,,,3,Dennis,0
748961,walter4224,Walter,,,,,1262049033,,retired,,,3,Brandy Liên Worrall-Soriano,0
301289,david3450,David,148927.0,Charlotte,NC,US,1207596127,,Consulting,I want to make a difference in people's lives.,,31,,0
661964,christian1970,Christian,,Huntington Beach,CA,US,1234671964,,IT Manager,,I am lucky and my hobby has become by job.,3,,0
672448,emily3071,Emily,,,,,1549085150,,,,,3,,0
431147,michael26585745,Michael,,,,,1475852397,,,,,2,,0
591544,cynthia20095845,Cynthia,,Berlin,,DE,1450784415,,Student,,,10,Veronika,0
71917,dominic7692,Dominic,,George,Western Cape,ZA,1405091091,,,,,15,,1
271735,dmytro5899,Dmytro,2658384.0,,,,1461922747,,,,,2,,0
102315,james2894,James,,RIDGEFIELD,CT,US,1235246122,,,,,39,,2
739611,kim6460,Kim,,,,,1331601137,,,,,1,Christopher,0
1484717,phino9139,Phino,1320171.0,,,,1364109976,,,,,4,Hemant,0
684160,erin22349063,Erin,2107443.0,,,US,1455989664,,,,,21,,0
889445,carsten6793,Carsten,229656.0,London,London,GB,1180516300,,painter/writer/photographer,I like the concept of enabling people to improve their lives.\r\nI have travelled in many of the countries that I lend in.,,415,,1
487941,brittany11693101,Brittany,,,,,1509769429,,,,,2,Kaley,0
238603,roy5370,Roy,1901089.0,Ottawa,ON,CA,1393432237,,,,,7,,0
275305,jian6611,Jian,,,,,1462436106,,,,,4,,0
979231,sowjanya9659,sowjanya,,,,,1427193961,,,,,2,,0
1123860,anthony82269358,Anthony,,,,,1520483283,,,,,1,,0
435618,mabfxn4677,M,,,,,1598980395,,,,,2,,0
719485,chris9341,Chris,,,,,1481815807,,,,,5,,0
794856,thomas2411,iSaints,1099745.0,,,,1337571251,,,,,11,,0
770809,maryellen2574,Mary Ellen,,,,,1367879998,,,,,1,Stu and Mary Ellen,0
989189,johnathan2297,Johnathan,251960.0,McMinnville,Oregon,US,1231119292,,,I simply want to help others in any way I can.,,4,John,0
566588,griffin8994,Griffin,,,,,1379552976,,,,,1,,0
1351731,colleen9836,Colleen,,Winnetka,IL,US,1229054536,,,,,10,Ali and Dena,2
325421,jonathan3875,Jonathan,,,,,1394808193,,,,,12,,0
1464179,jonathan5087,Jonathan,,,,,1248627508,,Futurist,,,1,Sarah,0
85268,penny6194,Penny,,Boynton Beach,FL,US,1283789926,,,,,3,,0
498010,yuusuke6938,yuusuke,,,,,1462806484,,,,,4,,0
88664,pippa4753,Pippa,1220086.0,Linz,Oberosterreich,AT,1350577727,,,,,7,,1
137266,donna8655,Donna,,Washington,DC,US,1242868570,,,,,43,,0
1274052,rosemary7861,Rosemary,,,,,1604752828,,,,,2,,0
1531951,jamika8346,Jamika,,Saint Louis,Missouri,US,1369536519,,,,,2,,0
847263,olia6389,Olia,,,,,1434650723,,,,,1,,0
7067,james3141,James,2603343.0,,,US,1501957630,,,,,12,,0
950573,jeanneandmilton5212,Jeanne and Milton,,,,,1424126633,,,,,5,Dana,0
1178356,sung1201,Sung,2085060.0,,,,1453587189,,,,,2,,0
1533235,kate3725,Kate,,,,,1606881511,,,,,1,,0
1054664,se9961,se,,,,,1462458929,,,,,2,,0
68422,scott4631,Scott,,,,,1230238360,,,,,2,Donald,0
847673,francesco8855,Francesco,1910615.0,,,,1434906377,,,,,84,,0
747629,mary7476,Mary,1056270.0,,,,1332732614,,,,,1,Oak View (Raabolle),0
1449883,linda78426656,Linda,,,,,1358332833,,,,,8,michael,0
1343208,michelle23384091,Michelle,,,,,1592095402,,,,,1,,0
992929,aaron85366395,Aaron,,Overland Park,Kansas,US,1385148716,,,,,6,Steve,0
146191,shiloh1114,Shiloh,135351.0,PFLUGERVILLE,TX,US,1204321230,,Communications Consultant,"I've been given a hand up in life, and now it's my turn to pay it forward.",I use the written and spoken word to promote services that are meaningful to me.,1,,0
1020051,mortengh,Morten Green Hermansen,1202509.0,"Hornslet, Rodskov",,DK,1348462353,,Entrepreneur,Building something out of nothing is a human right! We just need a chance!,,11,Lasse,2
268965,james5132,James,,London,London,GB,1178614299,,Banker,,,14,,0
739332,julie8990,Julie,1034388.0,,,GB,1331584020,,,,,1,Alison,0
1126954,rose4674,ROSE,,,,,1380065384,,,,,2,Murchie,0
1539936,klaus8254,Klaus,186094.0,Darmstadt,,DE,1217322324,,,,,16,Barbara,0
294273,oxana6394,Oxana,,,,,1361572023,,,,,5,,0
908838,andrea1321,Andrea,,London,England,GB,1215182843,,SVP Human Resources,,,18,,0
1251392,mary50644278,Mary,,,,,1484855493,,,,,1,Debbra,0
816683,dayton9298,Dayton,,Nazareth,PA,US,1312304030,,,,,1,Megan Hinrichsen,0
280265,jimmy7395,Jimmy,,,,,1463172711,,,,,2,,0
1410494,lindsey7395,Lindsey,,,,CA,1475379930,,,,,9,,1
476936,lynn8922,lynn,,,,,1506479225,,,,,1,,0
420782,michael3376,Michael,,Kamloops,British Columbia,CA,1193523365,,,,,28,,1
620126,jakob7921,Jakob,,,,,1324306320,,,,,1,,0
1532588,tina70042622,Tina,,,,,1574820222,,,,,1,,0
252566,mariaeugenia6418,Maria Eugenia,,,,,1394559356,,,,,4,,0
719270,merilee9877,Merilee,,,,,1531838622,,,,,2,,0
208032,laura80634343,Laura,,Lexington,KY,US,1293815706,,,,,33,,0
533477,susu1931,susu,,,,,1219246622,,,,,2,Cesca,0
905439,alexandru8582,Alexandru,,,,,1395215082,,,,,1,,0
34546,susan92188183,Susan,,,,,1491875684,,,,,1,,0
12950,lauren9629,Lauren,,,,,1199231331,,student,,,2,Inok,0
1134685,ibticem6877,ibticem,,,,,1473752938,,,,,1,,0
498478,johnathon8444,Johnathon,,,,,1586830062,,,,,1,,0
1101175,nancy2338,Nancy,,,,,1518624088,,,,,4,,0
605459,anth1005844,Anth 100,,Geneseo,NY,US,1196995590,,Student,,,8,Stephanie,0
169525,terry2848,Terry,716770.0,Pearland,Texas,US,1298254513,,,,,30,,0
867014,juju7715,JuJu,440308.0,"Fort Lauderdale,",FL,US,1259820152,,marine engineer ,i believe in random acts of kindness and senseless beauty...,,16,,0
900485,peggy3206,Peggy,1346496.0,,,,1367868570,,,,,1,Matthew,0
861445,anne7178,Anne,,,,CA,1298306314,,,,,9,,0
1524815,larry74153779,Larry,,Pickering,Ontario,CA,1420837863,,,,,1,,0
827241,pwww8743,美沙子,,,,JP,1402898189,,,,,7,,0
928928,madison3978,Madison,,,,,1560880338,,,,,1,,0
6659,marissaj1984,marissa,104368.0,,,US,1198607604,,,my brother started me off on this with a gift certificate.  i've always wanted to make some kind of difference.  this is a good way to jumpstart what i've wanted to do for a while.,,35,Jose,0
249468,anne89166872,Anne,,,,,1484084500,,,,,5,Mary,0
982532,beverly8098,Beverly,60208.0,Los Angeles,CA,US,1188963141,,Sales,,,2,,0
553671,lisa10968943,Lisa,,,,,1342518075,,,,,1,John,0
1224261,eric29757678,Eric,,,,,1531136786,,,,,12,,0
474429,elan4879,Elan,335035.0,Toronto,Ontario,CA,1244758813,,Recruitment Consultant,It helps,I recruit top talent in the fields of accounting and finance.,15,,0
12746,laura98808452,laura,,,,,1355779120,,,,,57,Jelle,0
1459636,sarah98899584,Sarah,1749253.0,,,,1417540847,,,,,22,,0
1060105,caleb9703,Caleb,1343496.0,Sydney,New South Wales,AU,1367368819,,,,,2086,,1
132541,rene2905,Rene,,,,,1201532562,,,,,28,,0
190761,kara3230,Kara,,,,,1289258377,,,,,2,warren,0
728996,ashley8925,Ashley,,Cleveland,Ohio,US,1363813837,,,,,1,David,0
177456,sarah64872418,Sarah,,,,,1388087678,,,,,1,Susan,0
539006,jayesh4797,Jayesh,1397755.0,,,,1374675852,,,,,1,,0
70897,ian80035929,Ian,1467204.0,,,,1383930829,,,,,33,,0
452698,madlen7782,Madlen,,,,,1354373759,,,,,1,Shannon,0
327740,sienna8090,Sienna,,Winnipeg,Manitoba,CA,1332819642,,,,,1,Summer & Blue,0
733363,liane4296,Liane,1324715.0,,,,1364828873,,,,,1,Lucky Buttons,0
618567,kelvinclyde4597,Kelvin Clyde,,,,,1499411237,,,,,5,,0
1222174,jennifer7498,Jennifer,,,,,1361113513,,,,,4,,0
886332,kavitha2656,Kavitha,,,,,1252978953,,Student,,,3,,0
734136,marla2696,Marla,,,,,1331160780,,,,,1,,0
137478,michael9227,Michael,1494554.0,Kitchener,Ontario,CA,1243689152,,retired,We would like to give someone else the chance to work hard and succeed.,,181,,2
39517,team046946,Team04,,,,,1492722482,,,,,1,Ira,0
343980,jayne2352,Jayne,1088231.0,Cranbourne,Victoria,AU,1336298801,,,,,1,Julianne Robinson,0
901144,arlene2865,Arlene,,,,,1302020937,,,,,1,david,0
1426579,amir7436,Amir,,,,,1528867247,,,,,2,,0
492184,edoardo9112,Edoardo,2168506.0,,,US,1461945010,,,,,1,,0
194003,aaron6836,Aaron,,,,,1198896882,,Actor,,,7,Joan,0
1222751,jacek7378,Jacek,,,,,1460447989,,,,,7,,0
1202387,kelly2624,kelly,1266157.0,,,,1356673329,,,,,32,,0
575181,angelina2683,Angelina,,south melbourne,Victoria,AU,1229491572,,coach & facilitator,,,30,Nicole,3
235247,vinayashree8017,vinayashree,,,,,1461298427,,,,,9,,0
1194835,kim3657,Kim,,Marlow,,GB,1409383194,,,,,130,,0
618093,ulrike6869,Ulrike,,,,,1387887740,,,,,7,,3
873597,josh9812,Josh,,Kansas City,MO,US,1437748176,,Banker,I loan because I believe that Jesus will make a lasting impact on people's lives when you meet their physical needs and empower them with the tools they need to sustain themselves and their community.,,46,,0
1358148,jeff8551,Jeff,922391.0,Los Angeles,CA,US,1229888158,,Mechanical Engineer,We will get nowhere unless we help each other.,I design new products using computers.,23,Eileen,1
77052,cristal1588,cristal,,,,,1406021124,,,,,1,,0
388835,stephany3093,stephany,1435504.0,,,,1379609287,,,,,1,,0
1411751,francine2595,Francine,,,,,1568889152,,,,,1,,0
58527,jay8943,Jay,2525368.0,,,US,1494605690,,,,,1,,0
